Population,Behavior,Hr38_Ratio
P1a,control,0.9719032663938892
P1a,control,0.8880425456134954
P1a,control,1.0011396775382966
P1a,control,0.8931384793918353
P1a,control,0.9582541358676523
P1a,control,0.7591385953892165
P1a,control,0.925094261985338
P1a,control,0.9376140772719821
P1a,control,0.9990171559802653
P1a,control,0.9020376743343597
P1a,control,0.9916047421861705
P1a,control,1.0578165740845709
P1a,control,0.8296728352510737
P1a,control,1.1717301414581065
P1a,control,1.0589504020824618
P1a,control,1.1958506697064692
P1a,control,0.967782369415774
P1a,control,0.889929524359249
P1a,control,1.030044422456531
P1a,control,1.1304289351073538
P1a,control,0.9693772433885428
P1a,control,0.9435360322021848
P1a,control,0.8885723495639598
P1a,control,1.029182041820418
P1a,control,1.1790209230953785
P1a,control,0.8313712675135819
P1a,control,0.9211546015265878
P1a,control,1.0921978122835856
P1a,control,1.0244092306474384
P1a,control,1.1250186461409946
P1a,control,1.2257544482164486
P1a,control,0.9278780281608023
P1a,control,1.094574869237319
P1a,control,1.0760467437900054
P1a,control,1.137443549970548
P1a,control,1.1501126821998473
P1a,control,0.998228341867856
P1a,control,0.8453913443488972
P1a,control,0.8984197516752632
P1a,control,1.1147568081325674
P1a,control,0.9236192934223568
P1a,control,0.95686512216646
P1a,control,1.0150943063323747
P1a,control,0.8354918404158012
P1a,control,0.9684491646481586
P1a,control,1.2117434917131427
P1a,control,0.9421763442524621
P1a,control,0.9395298293910964
P1a,control,1.0737284758200834
Tk,control,0.9440694716036924
Tk,control,1.0903820348005309
Tk,control,1.1723821280183055
Tk,control,1.0650965045428713
Tk,control,0.9618945535900554
Tk,control,0.9485870254473272
Tk,control,0.9642355809486283
Tk,control,1.3013931575682816
Tk,control,1.2424540202248289
Tk,control,1.1807163686923994
Tk,control,1.044374768515562
Tk,control,0.93866516512442
Tk,control,1.098901773114915
Tk,control,1.1628797949431118
Tk,control,0.9033205854483233
Tk,control,1.2287404200210685
Tk,control,0.9046245596641054
Tk,control,1.0739308589488994
Tk,control,1.1586015281315118
Tk,control,0.9939263049008918
Tk,control,1.2158604354559535
Tk,control,0.8044738443035054
Tk,control,1.0389625827745108
Tk,control,0.930371344237784
Tk,control,1.0451602057627005
Tk,control,1.323646673867463
Tk,control,1.0441585259312207
Tk,control,1.1655282874010535
Tk,control,0.9735668650126463
Tk,control,0.9806137516630359
Tk,control,1.1809498618703342
Tk,control,1.1085824920110672
Tk,control,1.1660766845885169
Tk,control,0.9142935161431722
Tk,control,1.5070623456711147
Tk,control,1.0169365242526887
Tk,control,0.9400288369333507
Tk,control,1.141614953694098
Tk,control,1.1789033118205396
Tk,control,1.1490831531669252
Tk,control,1.3799458934517204
Tk,control,1.0598696586938996
Tk,control,1.319064729848908
Tk,control,1.0763724818610112
Tk,control,1.4362892899921522
aSP2,NoFood,9.983758188791963
aSP2,NoFood,2.4981725432640585
aSP2,NoFood,3.1768499975444318
aSP2,NoFood,1.7040670058180387
aSP2,NoFood,1.7328272542121828
aSP2,NoFood,1.1617740217109622
aSP2,NoFood,2.1918149693654865
aSP2,NoFood,8.3064411960012
aSP2,NoFood,1.4791203444011163
aSP2,NoFood,6.875384156807927
aSP2,NoFood,1.863932072936074
aSP2,NoFood,1.6113934546163977
aSP2,NoFood,1.1089837997054492
aSP2,NoFood,2.073302362855461
aSP2,NoFood,1.052626283733061
aSP2,NoFood,1.2006340855179127
aSP2,NoFood,2.0377217315132494
aSP2,NoFood,1.049070416961561
aSP2,NoFood,2.0207636651060983
aSP2,NoFood,1.570574055887867
aSP2,NoFood,1.1319651071867416
aSP2,NoFood,1.278735256427021
aSP2,NoFood,1.3265791954745443
aSP2,NoFood,0.9530070424157713
aSP2,NoFood,1.2029372711543878
aSP2,NoFood,1.1259727174081537
aSP2,NoFood,9.00727222196489
aSP2,NoFood,1.3893533481129305
aSP2,NoFood,3.0084280744539686
aSP2,NoFood,3.101099395653851
aSP2,NoFood,9.81344537815126
aSP2,NoFood,1.5373900746222549
aSP2,NoFood,2.0518170290415365
aSP2,NoFood,2.184236636045026
aSP2,NoFood,2.2523232855074373
aSP2,NoFood,1.7622389796953808
aSP2,NoFood,7.316568988233156
aSP2,NoFood,10.030674061433446
aSP2,NoFood,1.5408185497448224
aSP2,NoFood,6.574245287263238
aSP2,NoFood,1.1292870712928706
aSP2,NoFood,0.839175139415628
aSP2,NoFood,1.176197128443927
aSP2,NoFood,8.491941772809982
aSP2,NoFood,6.2935828589839975
aSP2,NoFood,1.5445681580058486
aSP2,NoFood,1.5906769716343625
aSP2,NoFood,1.9557604753453197
aSP2,NoFood,1.9533360593816491
P1a,NoFood,1.0377779454402398
P1a,NoFood,1.4050100176642837
P1a,NoFood,1.677919311898423
P1a,NoFood,1.8804973997344927
P1a,NoFood,2.765874336308792
P1a,NoFood,1.5976739549411842
P1a,NoFood,0.9720764865043225
P1a,NoFood,1.3606168667500607
P1a,NoFood,5.43836892170558
P1a,NoFood,0.7192460593255678
P1a,NoFood,1.114243033202326
P1a,NoFood,1.2686357663361605
P1a,NoFood,1.1811191981047355
P1a,NoFood,0.888989617364829
P1a,NoFood,1.8882026619839165
P1a,NoFood,1.988386916508042
P1a,NoFood,1.5136476175014204
P1a,NoFood,1.476399241798751
P1a,NoFood,1.46472635594922
P1a,NoFood,1.0775557927914188
P1a,NoFood,1.7149416657040544
P1a,NoFood,1.8959492687977224
P1a,NoFood,1.3651185540597197
P1a,NoFood,1.8868617287318694
P1a,NoFood,1.3280829447666702
P1a,NoFood,1.022221230645665
P1a,NoFood,0.9081667084851055
P1a,NoFood,0.8484081041968162
P1a,NoFood,1.4857932519086756
P1a,NoFood,1.643865778355541
